Unnamed: 0,date,S308.DS_FLOW_cmd
7714,2011-02-15,276463.03672512
7715,2011-02-16,141901.38168192
7716,2011-02-17,428150.720592
7717,2011-02-18,271569.88563264
7718,2011-02-19,13456.16550432
7719,2011-02-20,163920.56159808
7720,2011-02-21,127221.92840448
7721,2011-02-22,88076.71966464
7722,2011-02-23,146794.5327744
7723,2011-02-24,550479.497904
7724,2011-02-25,146794.5327744
7725,2011-02-26,-97863.0218496
7726,2011-02-27,227531.52580032
7727,2011-02-28,173706.86378304
7728,2011-03-01,61164.388656
7729,2011-03-02,552926.07345024
7730,2011-03-03,557819.22454272
7731,2011-03-04,1071600.08925312
7732,2011-03-05,785350.75034304
7733,2011-03-06,418364.41840704
7734,2011-03-07,518674.01580288
7735,2011-03-08,1096065.84471552
7736,2011-03-09,1142550.78009408
7737,2011-03-10,511334.28916416
7738,2011-03-11,340074.00092736
7739,2011-03-12,352306.87865856
7740,2011-03-13,653235.67084608
7741,2011-03-14,386558.93630592
7742,2011-03-15,286249.33891008
7743,2011-03-16,990863.0962272
7744,2011-03-17,736419.23941824
7745,2011-03-18,861194.59227648
7746,2011-03-19,846515.13899904
7747,2011-03-20,374326.05857472
7748,2011-03-21,1027561.7294208
7749,2011-03-22,621430.18874496
7750,2011-03-23,922358.98093248
7751,2011-03-24,623876.7642912
7752,2011-03-25,264230.15899392
7753,2011-03-26,-129668.50395072
7754,2011-03-27,254443.85680896
7755,2011-03-28,171260.2882368
7756,2011-03-29,146794.5327744
7757,2011-03-30,-276463.03672512
7758,2011-03-31,-491761.68479424
7759,2011-04-01,-176153.43932928
7760,2011-04-02,-159027.4105056
7761,2011-04-03,61164.388656
7762,2011-04-04,107649.32403456
7763,2011-04-05,-274016.46117888
7764,2011-04-06,24221.097907776
7765,2011-04-07,-15658.083495936
7766,2011-04-08,16392.056159808
7767,2011-04-09,12477.535285824
7768,2011-04-10,-36698.6331936
7769,2011-04-11,-176153.43932928
7770,2011-04-12,237317.82798528
7771,2011-04-13,-92969.87075712
7772,2011-04-14,195726.0436992
7773,2011-04-15,425704.14504576
7774,2011-04-16,-97863.0218496
7775,2011-04-17,-181046.59042176
7776,2011-04-18,132115.07949696
7777,2011-04-19,347413.72756608
7778,2011-04-20,379219.2096672
7779,2011-04-21,337627.42538112
7780,2011-04-22,320501.39655744
7781,2011-04-23,293589.0655488
7782,2011-04-24,90523.29521088
7783,2011-04-25,171260.2882368
7784,2011-04-26,264230.15899392
7785,2011-04-27,61164.388656
7786,2011-04-28,269123.3100864
7787,2011-04-29,112542.47512704
7788,2011-04-30,119882.20176576
7789,2011-05-01,413471.26731456
7790,2011-05-02,313161.66991872
7791,2011-05-03,506441.13807168
7792,2011-05-04,379219.2096672
7793,2011-05-05,73397.2663872
7794,2011-05-06,411024.69176832
7795,2011-05-07,92969.87075712
7796,2011-05-08,151687.68386688
7797,2011-05-09,156580.83495936
7798,2011-05-10,151687.68386688
7799,2011-05-11,680148.00185472
7800,2011-05-12,114989.05067328
7801,2011-05-13,557819.22454272
7802,2011-05-14,171260.2882368
7803,2011-05-15,-342520.5764736
7804,2011-05-16,-203065.77033792
7805,2011-05-17,-242210.97907776
7806,2011-05-18,-151687.68386688
7807,2011-05-19,139454.80613568
7808,2011-05-20,156580.83495936
7809,2011-05-21,80736.99302592
7810,2011-05-22,48931.5109248
7811,2011-05-23,185939.74151424
7812,2011-05-24,261783.58344768
7813,2011-05-25,239764.40353152
7814,2011-05-26,322947.97210368
7815,2011-05-27,176153.43932928
7816,2011-05-28,-63610.96420224
7817,2011-05-29,-44038.35983232
7818,2011-05-30,-41591.78428608
7819,2011-05-31,-63610.96420224
7820,2011-06-01,178600.01487552
7821,2011-06-02,51378.08647104
7822,2011-06-03,119882.20176576
7823,2011-06-04,119882.20176576
7824,2011-06-05,110095.8995808
7825,2011-06-06,227531.52580032
7826,2011-06-07,4893.15109248
7827,2011-06-08,181046.59042176
7828,2011-06-09,300928.79218752
7829,2011-06-10,107649.32403456
7830,2011-06-11,141901.38168192
7831,2011-06-12,29358.90655488
7832,2011-06-13,159027.4105056
7833,2011-06-14,161473.98605184
7834,2011-06-15,146794.5327744
7835,2011-06-16,26912.33100864
7836,2011-06-17,134561.6550432
7837,2011-06-18,19327.946815296
7838,2011-06-19,-56271.23756352
7839,2011-06-20,-34252.05764736
7840,2011-06-21,61164.388656
7841,2011-06-22,44038.35983232
7842,2011-06-23,132115.07949696
7843,2011-06-24,51378.08647104
7844,2011-06-25,-78290.41747968
7845,2011-06-26,-97863.0218496
7846,2011-06-27,-26912.33100864
7847,2011-06-28,-124775.35285824
7848,2011-06-29,-599411.0088288
7849,2011-06-30,-518674.01580288
7850,2011-07-01,-389005.51185216
7851,2011-07-02,-650789.09529984
7852,2011-07-03,-562712.3756352
7853,2011-07-04,-528460.31798784
7854,2011-07-05,-552926.07345024
7855,2011-07-06,-24465.7554624
7856,2011-07-07,-36698.6331936
7857,2011-07-08,-266676.73454016
7858,2011-07-09,-506441.13807168
7859,2011-07-10,-305821.94328
7860,2011-07-11,-320501.39655744
7861,2011-07-12,-134561.6550432
7862,2011-07-13,-286249.33891008
7863,2011-07-14,-237317.82798528
7864,2011-07-15,-1015328.8516896
7865,2011-07-16,-105202.74848832
