Unnamed: 0,date,S65E_S_FLOW_cmd
6772,2008-07-18,3806822.61843852
6773,2008-07-19,3758331.49111204
6774,2008-07-20,4093414.47792507
6775,2008-07-21,4517430.48584392
6776,2008-07-22,4908955.97050871
6777,2008-07-23,5184073.3906834
6778,2008-07-24,5710160.53039139
6779,2008-07-25,5147913.00410997
6780,2008-07-26,5049756.39319482
6781,2008-07-27,5442456.23412181
6782,2008-07-28,5632139.23622179
6783,2008-07-29,5800023.25020478
6784,2008-07-30,6227170.87482282
6785,2008-07-31,4891414.02384217
6786,2008-08-01,5642414.853516
6787,2008-08-02,5254950.68425797
6788,2008-08-03,5879023.17459287
6789,2008-08-04,5662794.82781618
6790,2008-08-05,6782298.86626468
6791,2008-08-06,6396155.84780162
6792,2008-08-07,4845149.28026277
6793,2008-08-08,5727041.90166044
6794,2008-08-09,4848623.41753843
6795,2008-08-10,5951417.34500611
6796,2008-08-11,3440863.84823194
6797,2008-08-12,2906360.48864488
6798,2008-08-13,3329813.7841881
6799,2008-08-14,2493036.0158631
6800,2008-08-15,2830076.26311312
6801,2008-08-16,2328675.07066669
6802,2008-08-17,2032859.62137082
6803,2008-08-18,1668368.79649198
6804,2008-08-19,14185538.6061651
6805,2008-08-20,21397089.1520176
6806,2008-08-21,33528629.7240923
6807,2008-08-22,44505386.6383418
6808,2008-08-23,42080977.0665507
6809,2008-08-24,41082872.1067066
6810,2008-08-25,37332124.9997879
6811,2008-08-26,35719513.6599948
6812,2008-08-27,34731880.0434886
6813,2008-08-28,34634873.3230802
6814,2008-08-29,33837534.3525606
6815,2008-08-30,31602856.7143804
6816,2008-08-31,31150142.3753042
6817,2008-09-01,29968470.8522257
6818,2008-09-02,28098602.0937454
6819,2008-09-03,26264404.4067293
6820,2008-09-04,23759942.8830652
6821,2008-09-05,22197926.7255683
6822,2008-09-06,20965219.6365953
6823,2008-09-07,16844843.8961506
6824,2008-09-08,16131031.0147797
6825,2008-09-09,15925102.7510526
6826,2008-09-10,12932133.4880709
6827,2008-09-11,11091892.7594555
6828,2008-09-12,11046680.043361
6829,2008-09-13,10766963.0611594
6830,2008-09-14,7575087.20626829
6831,2008-09-15,7992913.37805516
6832,2008-09-16,8449591.16951631
6833,2008-09-17,6878645.01127561
6834,2008-09-18,6281949.70130314
6835,2008-09-19,3938154.79376068
6836,2008-09-20,4587573.80675462
6837,2008-09-21,4797514.45437748
6838,2008-09-22,3835618.81261776
6839,2008-09-23,3424887.70991499
6840,2008-09-24,3330743.48289567
6841,2008-09-25,2394830.47343702
6842,2008-09-26,1914004.98133448
6843,2008-09-27,1229232.95169736
6844,2008-09-28,1196155.2503122
6845,2008-09-29,943521.859407456
6846,2008-09-30,823297.137065222
6847,2008-10-01,875849.579798458
6848,2008-10-02,1112775.95569634
6849,2008-10-03,737789.321724134
6850,2008-10-04,654972.73948391
6851,2008-10-05,651474.136452787
6852,2008-10-06,474709.053236947
6853,2008-10-07,744395.075698982
6854,2008-10-08,713470.360794509
6855,2008-10-09,1143774.0678672
6856,2008-10-10,1423858.03640076
6857,2008-10-11,1678301.89320972
6858,2008-10-12,1691537.86691487
6859,2008-10-13,1367709.12761455
6860,2008-10-14,818722.040793754
6861,2008-10-15,666080.19246384
6862,2008-10-16,1053324.16992271
6863,2008-10-17,832300.535075386
6864,2008-10-18,1003781.01511135
6865,2008-10-19,526331.797262611
6866,2008-10-20,503945.631014515
6867,2008-10-21,469571.244589843
6868,2008-10-22,617197.613049965
6869,2008-10-23,657345.917763763
6870,2008-10-24,691108.660301875
6871,2008-10-25,651890.054295648
6872,2008-10-26,
6873,2008-10-27,0.0
6874,2008-10-28,0.0
6875,2008-10-29,164067.356130854
6876,2008-10-30,0.0
6877,2008-10-31,0.0
6878,2008-11-01,0.0
6879,2008-11-02,193181.60513111
6880,2008-11-03,0.0
6881,2008-11-04,0.0
6882,2008-11-05,549525.333440966
6883,2008-11-06,294347.503968134
6884,2008-11-07,422890.583167584
6885,2008-11-08,206882.428190054
6886,2008-11-09,370484.934967123
6887,2008-11-10,313112.738407795
6888,2008-11-11,243214.075051718
6889,2008-11-12,721984.443695424
6890,2008-11-13,582480.706048819
